Model,MDO3104
Firmware Version,1.10

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-05,
Horizontal Delay,-2.18e-05,
Sample Interval,2e-08,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,5,500
Vertical Units,A,V
Vertical Offset,0,0
Vertical Scale,1,250
Vertical Position,-0.66,-0.66
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.187800e-04,0.0075,6.17188
-1.187600e-04,0.0121875,5.74219
-1.187400e-04,0.005625,8.16406
-1.187200e-04,0.0046875,6.5625
-1.187000e-04,0.0178125,7.42188
-1.186800e-04,0.0107812,6.32812
-1.186600e-04,0.0134375,8.39844
-1.186400e-04,0.0125,7.69531
-1.186200e-04,0.0179687,7.34375
-1.186000e-04,0.0139063,7.07031
-1.185800e-04,0.0134375,5.78125
-1.185600e-04,0.0084375,6.05469
-1.185400e-04,0.014375,5.03906
-1.185200e-04,0.0201562,5.50781
-1.185000e-04,0.0145312,7.65625
-1.184800e-04,0.0142188,8.51562
-1.184600e-04,0.01125,7.53906
-1.184400e-04,0.0190625,7.30469
-1.184200e-04,0.01,5.15625
-1.184000e-04,0.008125,3.94531
-1.183800e-04,0.0121875,8.04688
-1.183600e-04,0.016875,6.5625
-1.183400e-04,0.011875,5.46875
-1.183200e-04,0.0107812,7.30469
-1.183000e-04,0.0204688,6.32812
-1.182800e-04,0.01375,8.35938
-1.182600e-04,0.0078125,7.38281
-1.182400e-04,0.0125,6.21094
-1.182200e-04,0.013125,7.5
-1.182000e-04,0.0140625,6.36719
-1.181800e-04,0.0128125,4.33594
-1.181600e-04,0.010625,6.09375
-1.181400e-04,0.0154688,6.25
-1.181200e-04,0.016875,6.83594
-1.181000e-04,0.0123437,7.07031
-1.180800e-04,0.0103125,6.75781
-1.180600e-04,0.0107812,7.26562
-1.180400e-04,0.0132813,5.58594
-1.180200e-04,0.0175,5.46875
-1.180000e-04,0.0117188,6.64062
-1.179800e-04,0.0096875,6.44531
-1.179600e-04,0.0040625,5.23438
-1.179400e-04,0.00703125,5.3125
-1.179200e-04,0.011875,5.23438
-1.179000e-04,0.0090625,6.48438
-1.178800e-04,0.0129687,5.15625
-1.178600e-04,0.0148438,7.30469
-1.178400e-04,0.0148438,7.26562
-1.178200e-04,0.0071875,4.96094
-1.178000e-04,0.0151562,7.26562
-1.177800e-04,0.00953125,5.85938
-1.177600e-04,0.0134375,6.79688
-1.177400e-04,0.0198438,6.44531
-1.177200e-04,0.010625,7.38281
-1.177000e-04,0.0170313,6.75781
-1.176800e-04,0.0110938,7.38281
-1.176600e-04,0.0167188,4.88281
-1.176400e-04,0.0145312,6.875
-1.176200e-04,0.0135938,5.27344
-1.176000e-04,0.0140625,5.89844
-1.175800e-04,0.0142188,6.48438
-1.175600e-04,0.01125,6.75781
-1.175400e-04,0.0110938,6.52344
-1.175200e-04,0.0165625,5
-1.175000e-04,0.0142188,5.78125
-1.174800e-04,0.0120313,7.30469
-1.174600e-04,0.015,5.07812
-1.174400e-04,0.01125,6.67969
-1.174200e-04,0.0173437,6.44531
-1.174000e-04,0.0185937,5.35156
-1.173800e-04,0.0176563,7.85156
-1.173600e-04,0.01875,6.09375
-1.173400e-04,0.0135938,6.95312
-1.173200e-04,0.003125,7.30469
