Model,MDO3104
Firmware Version,1.10

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-05,
Horizontal Delay,-2.18e-05,
Sample Interval,2e-08,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,5,500
Vertical Units,A,V
Vertical Offset,0,0
Vertical Scale,1,250
Vertical Position,-0.66,-0.66
,,
,,
,,
Label,,
TIME,CH1,CH2
-6.546000e-05,1.93328,174.844
-6.544000e-05,1.92797,176.875
-6.542000e-05,1.92422,178.398
-6.540000e-05,1.94437,176.641
-6.538000e-05,1.93406,175.312
-6.536000e-05,1.93234,177.734
-6.534000e-05,1.93781,175.703
-6.532000e-05,1.93875,177.852
-6.530000e-05,1.93828,177.422
-6.528000e-05,1.93781,176.992
-6.526000e-05,1.945,177.891
-6.524000e-05,1.93859,174.258
-6.522000e-05,1.94266,176.289
-6.520000e-05,1.94375,177.93
-6.518000e-05,1.94969,178.203
-6.516000e-05,1.93797,176.406
-6.514000e-05,1.94172,176.602
-6.512000e-05,1.95219,175.195
-6.510000e-05,1.94453,177.93
-6.508000e-05,1.94906,175.039
-6.506000e-05,1.95078,178.008
-6.504000e-05,1.96141,177.188
-6.502000e-05,1.95719,175.234
-6.500000e-05,1.95906,176.875
-6.498000e-05,1.95531,176.953
-6.496000e-05,1.95797,177.852
-6.494000e-05,1.96016,177.969
-6.492000e-05,1.95844,176.953
-6.490000e-05,1.96234,177.695
-6.488000e-05,1.96469,177.578
-6.486000e-05,1.96313,177.773
-6.484000e-05,1.97375,176.055
-6.482000e-05,1.97625,179.609
-6.480000e-05,1.96859,178.125
-6.478000e-05,1.98094,176.367
-6.476000e-05,1.96844,176.328
-6.474000e-05,1.97344,177.188
-6.472000e-05,1.96984,175.43
-6.470000e-05,1.97438,175.195
-6.468000e-05,1.97547,175.391
-6.466000e-05,1.98172,174.648
-6.464000e-05,1.98156,176.602
-6.462000e-05,1.98328,177.383
-6.460000e-05,1.97719,178.594
-6.458000e-05,1.98422,179.141
-6.456000e-05,1.98438,178.281
-6.454000e-05,1.98516,175.742
-6.452000e-05,1.98266,178.164
-6.450000e-05,1.99187,176.719
-6.448000e-05,1.99187,176.953
-6.446000e-05,1.99531,175.703
-6.444000e-05,1.98547,178.984
-6.442000e-05,1.99625,177.305
-6.440000e-05,1.99984,178.984
-6.438000e-05,1.99531,176.367
-6.436000e-05,1.99484,178.281
-6.434000e-05,1.99016,177.656
-6.432000e-05,1.99812,177.383
-6.430000e-05,1.99688,177.305
-6.428000e-05,1.99641,177.109
-6.426000e-05,2.00203,178.203
-6.424000e-05,2.00219,176.719
-6.422000e-05,2.00156,174.141
-6.420000e-05,2.00406,178.008
-6.418000e-05,2.00188,175.742
-6.416000e-05,2.01313,173.281
-6.414000e-05,2.01031,177.148
-6.412000e-05,2.00594,176.133
-6.410000e-05,2.0125,177.617
-6.408000e-05,2.01094,178.984
-6.406000e-05,2.01047,175.43
-6.404000e-05,2.01703,177.148
-6.402000e-05,2.02266,175.703
-6.400000e-05,2.01359,177.773
-6.398000e-05,2.02016,176.68
-6.396000e-05,2.02453,175.391
-6.394000e-05,2.01625,177.266
-6.392000e-05,2.01516,177.812
-6.390000e-05,2.02141,174.766
-6.388000e-05,2.01938,177.812
-6.386000e-05,2.02578,177.422
-6.384000e-05,2.02844,175.625
-6.382000e-05,2.02359,174.961
-6.380000e-05,2.02203,175.898
-6.378000e-05,2.02859,176.445
-6.376000e-05,2.0225,175.234
-6.374000e-05,2.02312,176.914
-6.372000e-05,2.03297,176.445
-6.370000e-05,2.03,176.562
-6.368000e-05,2.03438,177.578
-6.366000e-05,2.03547,178.594
-6.364000e-05,2.04641,176.68
-6.362000e-05,2.03297,176.992
-6.360000e-05,2.03578,176.211
-6.358000e-05,2.04703,176.25
-6.356000e-05,2.03953,175.664
-6.354000e-05,2.035,175.391
-6.352000e-05,2.04297,176.641
-6.350000e-05,2.03891,176.289
-6.348000e-05,2.04406,176.758
-6.346000e-05,2.04563,176.797
-6.344000e-05,2.04594,176.758
-6.342000e-05,2.04266,176.758
-6.340000e-05,2.05234,177.305
-6.338000e-05,2.05453,177.07
-6.336000e-05,2.04375,176.484
-6.334000e-05,2.05187,176.992
-6.332000e-05,2.05359,176.445
-6.330000e-05,2.06188,176.289
-6.328000e-05,2.05453,177.383
-6.326000e-05,2.05828,174.492
-6.324000e-05,2.065,177.617
-6.322000e-05,2.06156,174.141
-6.320000e-05,2.06188,175.82
-6.318000e-05,2.06438,174.766
-6.316000e-05,2.06391,175.781
-6.314000e-05,2.06984,175.82
-6.312000e-05,2.05797,179.766
-6.310000e-05,2.0575,175.273
-6.308000e-05,2.06438,176.797
-6.306000e-05,2.07156,177.109
-6.304000e-05,2.07578,174.57
-6.302000e-05,2.07172,177.656
-6.300000e-05,2.07094,179.336
-6.298000e-05,2.07609,177.148
-6.296000e-05,2.07781,178.047
-6.294000e-05,2.07422,176.523
-6.292000e-05,2.07875,177.812
-6.290000e-05,2.07563,176.875
-6.288000e-05,2.07875,175.273
-6.286000e-05,2.08922,177.266
-6.284000e-05,2.07031,175.117
-6.282000e-05,2.09203,175.43
-6.280000e-05,2.08406,177.656
-6.278000e-05,2.09031,176.367
-6.276000e-05,2.08922,176.445
-6.274000e-05,2.08937,174.219
-6.272000e-05,2.08859,176.992
-6.270000e-05,2.09219,177.461
-6.268000e-05,2.09344,176.758
-6.266000e-05,2.09047,176.797
-6.264000e-05,2.09594,175.547
-6.262000e-05,2.09359,174.141
-6.260000e-05,2.09297,175.508
-6.258000e-05,2.10344,177.305
-6.256000e-05,2.10297,177.812
-6.254000e-05,2.10531,177.539
-6.252000e-05,2.09359,176.484
-6.250000e-05,2.09891,176.602
-6.248000e-05,2.09688,176.914
-6.246000e-05,2.10438,178.125
-6.244000e-05,2.10672,177.188
-6.242000e-05,2.10672,176.445
-6.240000e-05,2.10453,174.57
-6.238000e-05,2.11453,176.602
-6.236000e-05,2.11078,177.891
-6.234000e-05,2.09938,176.953
-6.232000e-05,2.11109,176.016
-6.230000e-05,2.10453,175.898
-6.228000e-05,2.11219,177.344
-6.226000e-05,2.11766,174.883
-6.224000e-05,2.12125,176.836
-6.222000e-05,2.11297,174.531
-6.220000e-05,2.12031,175.469
-6.218000e-05,2.11484,174.375
-6.216000e-05,2.1225,174.961
-6.214000e-05,2.1175,176.992
-6.212000e-05,2.13031,177.5
-6.210000e-05,2.12375,176.523
-6.208000e-05,2.12297,175.508
-6.206000e-05,2.12594,176.367
-6.204000e-05,2.12688,176.055
-6.202000e-05,2.13266,176.445
-6.200000e-05,2.13266,176.445
-6.198000e-05,2.12438,174.102
-6.196000e-05,2.12906,176.914
-6.194000e-05,2.13141,176.953
-6.192000e-05,2.13328,175.234
-6.190000e-05,2.13703,175.352
-6.188000e-05,2.13813,177.109
-6.186000e-05,2.13563,174.688
-6.184000e-05,2.14766,175.391
-6.182000e-05,2.13859,174.844
-6.180000e-05,2.13625,175.352
-6.178000e-05,2.13625,175.859
-6.176000e-05,2.14859,175.898
-6.174000e-05,2.15313,177.07
-6.172000e-05,2.13828,175.898
-6.170000e-05,2.14234,177.227
-6.168000e-05,2.14234,175.312
-6.166000e-05,2.14906,176.055
-6.164000e-05,2.15328,173.633
-6.162000e-05,2.15469,176.68
-6.160000e-05,2.15516,175.82
-6.158000e-05,2.1475,174.766
-6.156000e-05,2.17,176.055
-6.154000e-05,2.16,176.406
-6.152000e-05,2.15844,174.102
-6.150000e-05,2.17297,175.625
-6.148000e-05,2.16188,175.586
-6.146000e-05,2.16094,174.219
-6.144000e-05,2.16031,176.992
-6.142000e-05,2.17063,174.531
-6.140000e-05,2.16266,175.469
-6.138000e-05,2.17125,174.531
-6.136000e-05,2.175,177.578
-6.134000e-05,2.17078,176.133
-6.132000e-05,2.17125,177.5
-6.130000e-05,2.17984,175.508
-6.128000e-05,2.17156,176.914
-6.126000e-05,2.18156,176.758
-6.124000e-05,2.17672,176.797
-6.122000e-05,2.18219,177.891
-6.120000e-05,2.18625,177.07
-6.118000e-05,2.17906,176.094
-6.116000e-05,2.17203,175.508
-6.114000e-05,2.18562,175.664
-6.112000e-05,2.19375,174.688
-6.110000e-05,2.18703,175.195
-6.108000e-05,2.18875,173.984
-6.106000e-05,2.19234,178.008
-6.104000e-05,2.19281,176.406
-6.102000e-05,2.19359,175.82
-6.100000e-05,2.19578,178.125
-6.098000e-05,2.19594,176.758
-6.096000e-05,2.19344,175.391
-6.094000e-05,2.19781,176.055
-6.092000e-05,2.19828,174.18
-6.090000e-05,2.20547,173.555
-6.088000e-05,2.20484,174.414
-6.086000e-05,2.19953,174.648
-6.084000e-05,2.21391,176.133
-6.082000e-05,2.2075,176.406
-6.080000e-05,2.20875,174.648
-6.078000e-05,2.20641,176.641
-6.076000e-05,2.21172,175.703
-6.074000e-05,2.21437,178.203
-6.072000e-05,2.21406,176.016
-6.070000e-05,2.21469,175.781
-6.068000e-05,2.20734,179.141
-6.066000e-05,2.21484,176.484
-6.064000e-05,2.21766,175.898
-6.062000e-05,2.21672,175.352
-6.060000e-05,2.21734,176.484
-6.058000e-05,2.21687,174.766
-6.056000e-05,2.21281,175.156
-6.054000e-05,2.22313,174.18
-6.052000e-05,2.21453,175.781
-6.050000e-05,2.21484,175.703
-6.048000e-05,2.22203,175.469
-6.046000e-05,2.22047,176.953
-6.044000e-05,2.22766,176.562
-6.042000e-05,2.22672,176.367
-6.040000e-05,2.22844,176.68
-6.038000e-05,2.23047,175.352
-6.036000e-05,2.22812,175.273
-6.034000e-05,2.23141,176.641
-6.032000e-05,2.23875,173.555
-6.030000e-05,2.23813,177.656
-6.028000e-05,2.22344,176.641
-6.026000e-05,2.22953,175.352
-6.024000e-05,2.23516,176.406
-6.022000e-05,2.22828,174.727
-6.020000e-05,2.23953,177.422
-6.018000e-05,2.24063,178.047
-6.016000e-05,2.24906,175.352
-6.014000e-05,2.24391,176.484
-6.012000e-05,2.24203,175.938
-6.010000e-05,2.23594,175.859
-6.008000e-05,2.24094,174.883
-6.006000e-05,2.25125,177.578
-6.004000e-05,2.25078,177.383
-6.002000e-05,2.25094,178.477
-6.000000e-05,2.25203,172.969
-5.998000e-05,2.24547,176.953
-5.996000e-05,2.24562,177.93
-5.994000e-05,2.24562,175.859
-5.992000e-05,2.25516,175.938
-5.990000e-05,2.24719,176.406
-5.988000e-05,2.25906,174.492
-5.986000e-05,2.25422,178.008
-5.984000e-05,2.25953,175.625
-5.982000e-05,2.25937,176.68
-5.980000e-05,2.255,176.445
-5.978000e-05,2.26234,176.367
-5.976000e-05,2.2575,175.195
-5.974000e-05,2.26781,175.352
-5.972000e-05,2.27188,175.195
-5.970000e-05,2.26016,175.82
-5.968000e-05,2.26313,175.586
-5.966000e-05,2.26375,175.312
-5.964000e-05,2.26812,176.016
-5.962000e-05,2.26766,176.094
-5.960000e-05,2.26688,175.781
-5.958000e-05,2.26609,175.625
-5.956000e-05,2.27172,175.156
-5.954000e-05,2.27297,174.414
-5.952000e-05,2.28063,174.023
-5.950000e-05,2.27953,177.5
-5.948000e-05,2.28391,176.133
-5.946000e-05,2.27703,174.766
-5.944000e-05,2.2825,176.094
-5.942000e-05,2.2825,175.859
-5.940000e-05,2.28297,176.25
-5.938000e-05,2.295,175.508
-5.936000e-05,2.28938,176.562
-5.934000e-05,2.28734,175.781
-5.932000e-05,2.28563,176.719
-5.930000e-05,2.28734,173.438
-5.928000e-05,2.28969,177.227
-5.926000e-05,2.29906,176.445
-5.924000e-05,2.29094,175.273
-5.922000e-05,2.29688,176.211
-5.920000e-05,2.29031,175.43
-5.918000e-05,2.30063,175.195
-5.916000e-05,2.29797,177.617
-5.914000e-05,2.2975,173.906
-5.912000e-05,2.28922,176.602
-5.910000e-05,2.30016,176.289
-5.908000e-05,2.30125,177.305
-5.906000e-05,2.29859,176.133
-5.904000e-05,2.29266,174.648
-5.902000e-05,2.31625,174.18
-5.900000e-05,2.29672,175.469
-5.898000e-05,2.30875,178.281
-5.896000e-05,2.30656,175
-5.894000e-05,2.30984,175
-5.892000e-05,2.31422,176.562
-5.890000e-05,2.31359,173.711
-5.888000e-05,2.31578,176.25
-5.886000e-05,2.31922,173.945
-5.884000e-05,2.32688,173.555
-5.882000e-05,2.31,176.602
-5.880000e-05,2.31937,175.977
-5.878000e-05,2.32047,175.977
-5.876000e-05,2.32859,175.43
-5.874000e-05,2.32766,174.922
-5.872000e-05,2.33141,176.758
-5.870000e-05,2.3175,174.492
-5.868000e-05,2.32531,175.352
-5.866000e-05,2.32906,175.625
-5.864000e-05,2.33531,173.164
-5.862000e-05,2.33156,174.18
-5.860000e-05,2.33109,175.195
-5.858000e-05,2.33891,175.898
-5.856000e-05,2.33438,174.883
-5.854000e-05,2.33813,175.234
-5.852000e-05,2.3375,173.516
-5.850000e-05,2.33844,176.016
-5.848000e-05,2.34656,175.039
-5.846000e-05,2.33969,174.414
-5.844000e-05,2.34859,174.219
-5.842000e-05,2.33937,176.484
-5.840000e-05,2.33969,176.914
-5.838000e-05,2.34891,175.117
-5.836000e-05,2.34313,176.133
-5.834000e-05,2.35266,176.641
-5.832000e-05,2.3525,174.062
-5.830000e-05,2.35406,176.406
-5.828000e-05,2.34031,176.328
-5.826000e-05,2.34906,173.008
-5.824000e-05,2.34656,174.453
-5.822000e-05,2.35422,175.391
-5.820000e-05,2.35984,175.508
-5.818000e-05,2.36453,176.016
-5.816000e-05,2.36516,177.148
-5.814000e-05,2.35938,177.617
-5.812000e-05,2.36078,174.219
-5.810000e-05,2.36437,175.977
-5.808000e-05,2.3525,174.648
-5.806000e-05,2.36688,174.609
-5.804000e-05,2.37031,178.008
-5.802000e-05,2.36484,173.828
-5.800000e-05,2.37094,174.961
-5.798000e-05,2.36672,173.75
-5.796000e-05,2.37562,175.938
-5.794000e-05,2.37203,174.023
-5.792000e-05,2.36938,175.508
-5.790000e-05,2.3725,175.391
-5.788000e-05,2.37469,174.18
-5.786000e-05,2.38016,174.375
-5.784000e-05,2.37969,175.195
-5.782000e-05,2.37672,175
-5.780000e-05,2.37844,176.914
-5.778000e-05,2.38437,174.883
-5.776000e-05,2.38359,174.375
-5.774000e-05,2.38266,175.859
-5.772000e-05,2.38344,175.508
-5.770000e-05,2.38875,175.938
-5.768000e-05,2.3925,174.258
-5.766000e-05,2.38141,176.523
-5.764000e-05,2.38563,176.055
-5.762000e-05,2.39172,173.828
-5.760000e-05,2.39016,173.984
-5.758000e-05,2.38844,175.234
-5.756000e-05,2.39641,174.219
-5.754000e-05,2.39797,175.117
-5.752000e-05,2.39547,175.469
-5.750000e-05,2.39297,175.547
-5.748000e-05,2.39391,173.945
-5.746000e-05,2.39672,176.25
-5.744000e-05,2.39797,175.391
-5.742000e-05,2.39969,174.609
-5.740000e-05,2.40141,176.055
-5.738000e-05,2.40234,173.633
-5.736000e-05,2.40094,175.664
-5.734000e-05,2.40953,174.805
-5.732000e-05,2.40469,175.469
-5.730000e-05,2.41156,174.453
-5.728000e-05,2.40609,173.594
-5.726000e-05,2.40844,174.18
-5.724000e-05,2.40234,176.484
-5.722000e-05,2.41016,174.414
-5.720000e-05,2.40578,172.773
-5.718000e-05,2.42094,173.984
-5.716000e-05,2.41984,176.602
-5.714000e-05,2.41672,174.18
-5.712000e-05,2.41734,177.031
-5.710000e-05,2.42313,175.391
-5.708000e-05,2.415,176.25
-5.706000e-05,2.42047,174.57
-5.704000e-05,2.42594,177.461
-5.702000e-05,2.42453,175.742
-5.700000e-05,2.42859,174.609
-5.698000e-05,2.43,175.469
-5.696000e-05,2.42188,174.57
-5.694000e-05,2.42563,175.977
-5.692000e-05,2.43281,178.281
-5.690000e-05,2.42875,173.828
-5.688000e-05,2.43719,174.805
-5.686000e-05,2.43047,175.43
-5.684000e-05,2.43609,175.859
-5.682000e-05,2.42563,174.531
-5.680000e-05,2.44672,176.172
-5.678000e-05,2.44172,173.203
-5.676000e-05,2.44734,176.328
-5.674000e-05,2.43797,174.844
-5.672000e-05,2.44203,174.883
-5.670000e-05,2.44516,175.117
-5.668000e-05,2.44172,174.648
-5.666000e-05,2.43656,176.68
-5.664000e-05,2.44094,176.758
-5.662000e-05,2.44828,175.742
-5.660000e-05,2.44641,175.078
-5.658000e-05,2.45,172.93
-5.656000e-05,2.44813,175.938
-5.654000e-05,2.45406,175.391
-5.652000e-05,2.45391,174.336
-5.650000e-05,2.45688,176.25
-5.648000e-05,2.45641,174.766
-5.646000e-05,2.44875,175
-5.644000e-05,2.45625,176.602
-5.642000e-05,2.45875,175.547
-5.640000e-05,2.45844,175.273
-5.638000e-05,2.46609,176.133
-5.636000e-05,2.46063,175.43
-5.634000e-05,2.465,174.727
-5.632000e-05,2.46813,174.57
-5.630000e-05,2.46891,174.766
-5.628000e-05,2.46609,174.18
-5.626000e-05,2.46844,174.609
-5.624000e-05,2.46844,173.555
-5.622000e-05,2.47203,175.859
-5.620000e-05,2.47844,175.508
-5.618000e-05,2.47234,176.016
-5.616000e-05,2.47469,172.812
-5.614000e-05,2.47375,176.133
-5.612000e-05,2.47156,174.492
-5.610000e-05,2.47375,174.18
-5.608000e-05,2.48188,174.648
-5.606000e-05,2.47625,173.828
-5.604000e-05,2.47953,177.305
-5.602000e-05,2.47203,173.438
-5.600000e-05,2.48078,173.828
-5.598000e-05,2.48672,176.523
-5.596000e-05,2.47688,174.102
-5.594000e-05,2.48953,174.336
-5.592000e-05,2.48656,175.43
-5.590000e-05,2.48906,176.172
-5.588000e-05,2.49812,175.664
-5.586000e-05,2.48672,173.359
-5.584000e-05,2.49453,174.883
-5.582000e-05,2.49578,173.047
-5.580000e-05,2.48797,176.484
-5.578000e-05,2.49031,174.961
-5.576000e-05,2.48859,173.867
-5.574000e-05,2.50438,173.633
-5.572000e-05,2.50141,177.773
-5.570000e-05,2.48906,172.305
-5.568000e-05,2.50422,175.625
-5.566000e-05,2.50281,173.906
-5.564000e-05,2.50797,174.18
-5.562000e-05,2.50109,175.391
-5.560000e-05,2.49984,176.211
-5.558000e-05,2.51391,173.75
-5.556000e-05,2.50953,171.25
-5.554000e-05,2.51156,172.891
-5.552000e-05,2.51266,173.789
-5.550000e-05,2.5175,174.336
-5.548000e-05,2.51578,173.594
-5.546000e-05,2.51797,174.648
-5.544000e-05,2.51531,174.258
-5.542000e-05,2.51703,175
-5.540000e-05,2.51094,172.188
-5.538000e-05,2.52047,175.117
-5.536000e-05,2.51156,174.922
-5.534000e-05,2.52328,174.219
-5.532000e-05,2.52375,174.219
-5.530000e-05,2.52937,173.906
-5.528000e-05,2.52687,173.398
-5.526000e-05,2.53406,174.609
-5.524000e-05,2.52531,172.695
-5.522000e-05,2.52313,174.609
-5.520000e-05,2.53234,172.305
-5.518000e-05,2.53344,172.617
-5.516000e-05,2.53375,173.164
-5.514000e-05,2.53297,172.852
-5.512000e-05,2.53234,174.375
-5.510000e-05,2.53875,174.961
-5.508000e-05,2.54578,172.5
-5.506000e-05,2.53375,172.734
-5.504000e-05,2.53844,173.242
-5.502000e-05,2.53516,174.805
-5.500000e-05,2.53531,174.062
-5.498000e-05,2.54094,173.125
-5.496000e-05,2.54891,173.516
-5.494000e-05,2.54125,174.18
-5.492000e-05,2.54734,173.438
-5.490000e-05,2.54984,172.812
-5.488000e-05,2.54859,174.531
-5.486000e-05,2.55109,174.258
-5.484000e-05,2.5475,174.219
-5.482000e-05,2.55016,173.125
-5.480000e-05,2.55594,177.617
-5.478000e-05,2.54844,173.594
-5.476000e-05,2.55953,174.922
-5.474000e-05,2.55281,175.469
-5.472000e-05,2.54844,173.398
-5.470000e-05,2.55391,173.555
-5.468000e-05,2.55922,173.398
-5.466000e-05,2.56094,172.539
-5.464000e-05,2.56172,174.766
-5.462000e-05,2.55953,174.141
-5.460000e-05,2.56125,173.594
-5.458000e-05,2.56203,175.977
-5.456000e-05,2.56969,174.492
-5.454000e-05,2.56813,172.344
-5.452000e-05,2.57109,175
-5.450000e-05,2.56688,173.438
-5.448000e-05,2.56625,176.367
-5.446000e-05,2.56422,174.141
-5.444000e-05,2.56719,173.164
-5.442000e-05,2.57563,174.062
-5.440000e-05,2.56953,174.18
-5.438000e-05,2.57359,174.492
-5.436000e-05,2.56937,172.773
-5.434000e-05,2.58516,177.266
-5.432000e-05,2.575,173.945
-5.430000e-05,2.57984,173.906
-5.428000e-05,2.58078,174.336
-5.426000e-05,2.58734,173.75
-5.424000e-05,2.58375,172.93
-5.422000e-05,2.58312,176.914
-5.420000e-05,2.58172,173.555
-5.418000e-05,2.58312,174.219
-5.416000e-05,2.58563,174.492
-5.414000e-05,2.57875,176.914
-5.412000e-05,2.58266,174.805
-5.410000e-05,2.58453,174.492
-5.408000e-05,2.59563,175.664
-5.406000e-05,2.60344,173.594
-5.404000e-05,2.59109,174.336
-5.402000e-05,2.58844,175
-5.400000e-05,2.58906,173.32
-5.398000e-05,2.59688,175.703
-5.396000e-05,2.58734,172.812
-5.394000e-05,2.60219,173.75
-5.392000e-05,2.59297,171.328
-5.390000e-05,2.59484,173.555
-5.388000e-05,2.60031,176.172
-5.386000e-05,2.60984,173.867
-5.384000e-05,2.59828,173.438
-5.382000e-05,2.60578,174.727
-5.380000e-05,2.60922,174.297
-5.378000e-05,2.60984,173.359
-5.376000e-05,2.60188,171.328
-5.374000e-05,2.60109,173.281
-5.372000e-05,2.60953,173.516
-5.370000e-05,2.61063,173.789
-5.368000e-05,2.61437,171.562
-5.366000e-05,2.61234,175.039
-5.364000e-05,2.61469,173.32
-5.362000e-05,2.61828,175.742
-5.360000e-05,2.62375,175.156
-5.358000e-05,2.61656,176.367
-5.356000e-05,2.61187,174.336
-5.354000e-05,2.63203,172.383
-5.352000e-05,2.61609,174.883
-5.350000e-05,2.61953,173.633
-5.348000e-05,2.62938,171.094
-5.346000e-05,2.62234,175.43
-5.344000e-05,2.62781,171.406
-5.342000e-05,2.62719,171.914
-5.340000e-05,2.63969,174.531
-5.338000e-05,2.63422,173.047
-5.336000e-05,2.63109,172.891
-5.334000e-05,2.63063,173.359
-5.332000e-05,2.63484,173.125
-5.330000e-05,2.63547,172.539
-5.328000e-05,2.63703,172.344
-5.326000e-05,2.63953,174.219
-5.324000e-05,2.63656,172.656
-5.322000e-05,2.64188,174.414
-5.320000e-05,2.63453,172.5
-5.318000e-05,2.63938,174.688
-5.316000e-05,2.64188,172.148
-5.314000e-05,2.64328,173.438
-5.312000e-05,2.6425,173.32
-5.310000e-05,2.65641,173.32
-5.308000e-05,2.65813,172.852
-5.306000e-05,2.64984,174.297
-5.304000e-05,2.65016,173.867
-5.302000e-05,2.65547,172.93
-5.300000e-05,2.65891,176.172
-5.298000e-05,2.65375,172.891
-5.296000e-05,2.64672,173.359
-5.294000e-05,2.64844,172.773
-5.292000e-05,2.66125,174.141
-5.290000e-05,2.65109,173.75
-5.288000e-05,2.64922,172.148
-5.286000e-05,2.65969,172.422
-5.284000e-05,2.66328,175.43
-5.282000e-05,2.65859,173.32
-5.280000e-05,2.66203,173.555
-5.278000e-05,2.66578,173.281
-5.276000e-05,2.67422,171.055
-5.274000e-05,2.665,174.805
-5.272000e-05,2.66875,173.711
-5.270000e-05,2.66203,173.32
-5.268000e-05,2.66938,174.023
-5.266000e-05,2.67266,174.141
-5.264000e-05,2.67625,173.32
-5.262000e-05,2.67484,173.75
-5.260000e-05,2.68141,173.984
-5.258000e-05,2.67609,173.555
-5.256000e-05,2.67359,173.516
-5.254000e-05,2.68094,175.078
-5.252000e-05,2.68438,173.32
-5.250000e-05,2.67578,173.945
-5.248000e-05,2.68563,172.344
-5.246000e-05,2.68109,173.125
-5.244000e-05,2.67766,173.008
-5.242000e-05,2.67984,173.281
-5.240000e-05,2.68109,174.57
-5.238000e-05,2.68406,175.898
-5.236000e-05,2.68563,173.359
-5.234000e-05,2.68656,175.898
-5.232000e-05,2.68641,174.062
-5.230000e-05,2.68375,172.188
-5.228000e-05,2.69063,175.547
-5.226000e-05,2.69031,172.852
-5.224000e-05,2.69125,172.969
-5.222000e-05,2.7,174.219
-5.220000e-05,2.68531,174.141
-5.218000e-05,2.69578,174.805
-5.216000e-05,2.69469,173.633
-5.214000e-05,2.69859,170.781
-5.212000e-05,2.70234,176.055
-5.210000e-05,2.70375,172.93
-5.208000e-05,2.70625,174.648
-5.206000e-05,2.70359,172.227
-5.204000e-05,2.70641,172.383
-5.202000e-05,2.70063,175.078
-5.200000e-05,2.71375,173.125
-5.198000e-05,2.70531,174.453
-5.196000e-05,2.7025,173.125
-5.194000e-05,2.70484,173.867
-5.192000e-05,2.69984,175.898
-5.190000e-05,2.71719,171.211
-5.188000e-05,2.71469,173.672
-5.186000e-05,2.71813,176.602
-5.184000e-05,2.71344,172.305
-5.182000e-05,2.71688,174.727
-5.180000e-05,2.715,173.164
-5.178000e-05,2.72047,172.188
-5.176000e-05,2.72672,170.781
-5.174000e-05,2.72953,176.367
-5.172000e-05,2.72922,172.656
-5.170000e-05,2.72109,172.617
-5.168000e-05,2.73031,172.852
-5.166000e-05,2.72938,175
-5.164000e-05,2.72594,174.688
-5.162000e-05,2.73609,173.867
-5.160000e-05,2.72609,173.828
-5.158000e-05,2.73156,172.031
-5.156000e-05,2.72656,173.086
-5.154000e-05,2.73906,174.609
-5.152000e-05,2.73531,174.18
-5.150000e-05,2.73313,173.828
-5.148000e-05,2.73828,171.562
-5.146000e-05,2.73938,175.391
-5.144000e-05,2.73063,173.984
-5.142000e-05,2.73953,172.148
-5.140000e-05,2.74078,173.672
-5.138000e-05,2.73219,172.695
-5.136000e-05,2.73297,173.359
-5.134000e-05,2.73828,173.164
-5.132000e-05,2.74391,174.922
-5.130000e-05,2.75391,172.539
-5.128000e-05,2.75219,174.727
-5.126000e-05,2.75063,171.797
-5.124000e-05,2.74141,173.125
-5.122000e-05,2.75,173.984
-5.120000e-05,2.75172,173.555
-5.118000e-05,2.75266,173.711
-5.116000e-05,2.75578,174.648
-5.114000e-05,2.75281,176.562
-5.112000e-05,2.75641,174.336
-5.110000e-05,2.75813,174.961
-5.108000e-05,2.76016,173.711
-5.106000e-05,2.76469,173.477
-5.104000e-05,2.75656,173.672
-5.102000e-05,2.75906,171.992
-5.100000e-05,2.75844,172.305
-5.098000e-05,2.76031,172.5
-5.096000e-05,2.76047,172.891
-5.094000e-05,2.75938,172.227
-5.092000e-05,2.76813,172.656
-5.090000e-05,2.76625,173.047
-5.088000e-05,2.77391,173.047
-5.086000e-05,2.78219,172.539
-5.084000e-05,2.77531,174.531
-5.082000e-05,2.77016,171.953
-5.080000e-05,2.77219,174.844
-5.078000e-05,2.77453,173.633
-5.076000e-05,2.76813,172.852
-5.074000e-05,2.77844,172.852
-5.072000e-05,2.77484,174.414
-5.070000e-05,2.77453,173.594
-5.068000e-05,2.78422,172.578
-5.066000e-05,2.77625,171.797
-5.064000e-05,2.77891,172.422
-5.062000e-05,2.77594,172.812
-5.060000e-05,2.79281,173.633
-5.058000e-05,2.78812,173.281
-5.056000e-05,2.79453,171.25
-5.054000e-05,2.78812,173.086
-5.052000e-05,2.78328,173.281
-5.050000e-05,2.78234,172.109
-5.048000e-05,2.78328,173.203
-5.046000e-05,2.79609,173.555
-5.044000e-05,2.79813,172.227
-5.042000e-05,2.78672,173.281
-5.040000e-05,2.79609,171.836
-5.038000e-05,2.80344,174.922
-5.036000e-05,2.80234,174.688
-5.034000e-05,2.79984,172.773
-5.032000e-05,2.80297,173.906
-5.030000e-05,2.80781,171.562
-5.028000e-05,2.8075,171.484
-5.026000e-05,2.80078,173.672
-5.024000e-05,2.81094,174.375
-5.022000e-05,2.81438,174.062
-5.020000e-05,2.80828,173.242
-5.018000e-05,2.80828,173.945
-5.016000e-05,2.81063,172.5
-5.014000e-05,2.81875,171.484
